                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6226,                 2.6421,                 1.6569,                0.58371,                0.41153,                0.45141,                0.23275,                 1.5995,                 2.5595,                  1.674,             0.00029611,             0.00029611,             0.00029611
                      2,                 1.4464,                 1.7692,                 1.4999,                0.69702,                0.33178,                0.40686,                0.22142,                 1.7971,                 4.4077,                 1.8568,              0.0005917,              0.0005917,              0.0005917
                      3,                 1.5016,                 1.7325,                 1.5455,                0.17158,                0.31618,                0.19622,                0.06867,                 2.5857,                  3.563,                 3.0497,             0.00087979,             0.00087979,             0.00087979
                      4,                  1.514,                 1.7261,                 1.5683,                0.66423,                0.37413,                0.42486,                0.23264,                 2.1878,                 3.0236,                 2.5029,             0.00087525,             0.00087525,             0.00087525
                      5,                 1.4624,                 1.6488,                 1.5136,                0.38744,                0.45155,                0.39346,                0.17256,                 1.9815,                   2.66,                 2.1449,               0.000864,               0.000864,               0.000864
                      6,                 1.4782,                 1.6063,                 1.4988,                0.41652,                0.44634,                 0.3737,                0.18729,                 2.0331,                 2.3967,                 2.0542,             0.00085276,             0.00085276,             0.00085276
                      7,                 1.4416,                 1.5187,                 1.4875,                0.54084,                0.42737,                0.43067,                 0.2301,                 1.9666,                 2.3662,                  2.047,             0.00084151,             0.00084151,             0.00084151
                      8,                 1.3698,                 1.4738,                 1.4514,                0.52573,                0.52909,                0.56573,                0.30488,                 1.8433,                 2.2127,                  1.883,             0.00083026,             0.00083026,             0.00083026
                      9,                 1.3601,                 1.3722,                  1.449,                0.59664,                0.50825,                0.54823,                0.29661,                 1.9114,                 2.0357,                 1.9505,             0.00081901,             0.00081901,             0.00081901
                     10,                 1.3419,                 1.3898,                 1.4372,                0.57593,                0.52952,                0.55862,                0.29639,                 1.8548,                 2.0897,                 1.9303,             0.00080776,             0.00080776,             0.00080776
                     11,                 1.2805,                  1.273,                 1.3759,                0.78573,                0.62321,                0.69879,                0.43546,                 1.7725,                 1.7136,                 1.8459,             0.00079651,             0.00079651,             0.00079651
                     12,                 1.2849,                 1.2669,                 1.3835,                 0.7361,                0.45904,                0.60958,                0.33362,                 1.7729,                 1.7548,                 1.8828,             0.00078526,             0.00078526,             0.00078526
                     13,                 1.2275,                  1.216,                 1.3516,                0.66152,                0.62184,                0.66411,                0.35029,                 1.7982,                 1.7878,                 1.8439,             0.00077401,             0.00077401,             0.00077401
                     14,                 1.1995,                 1.1523,                 1.3311,                0.62514,                0.63461,                 0.6714,                0.40454,                 1.7922,                 1.6379,                 1.8499,             0.00076276,             0.00076276,             0.00076276
                     15,                 1.2123,                 1.1626,                 1.3381,                0.66478,                0.66074,                0.69927,                0.43826,                 1.7264,                 1.7235,                 1.7674,             0.00075152,             0.00075152,             0.00075152
                     16,                 1.1889,                 1.1167,                 1.3315,                0.75085,                0.66653,                0.71107,                0.44022,                  1.746,                 1.6011,                 1.8258,             0.00074027,             0.00074027,             0.00074027
                     17,                 1.1206,                 1.0415,                 1.2774,                0.78844,                0.58513,                0.67318,                0.37936,                 1.7168,                 1.7047,                 1.7765,             0.00072902,             0.00072902,             0.00072902
                     18,                 1.1114,                 1.0568,                 1.2763,                0.78103,                0.59458,                0.71783,                0.45106,                 1.6986,                 1.5698,                 1.7689,             0.00071777,             0.00071777,             0.00071777
                     19,                 1.0814,                0.99075,                 1.2462,                0.67797,                0.61358,                0.66611,                0.40693,                 1.6693,                 1.5522,                 1.7684,             0.00070652,             0.00070652,             0.00070652
                     20,                 1.0443,                0.91677,                 1.2397,                0.77371,                0.63742,                0.72959,                0.43987,                 1.7136,                 1.4948,                 1.8052,             0.00069527,             0.00069527,             0.00069527
                     21,                 1.0271,                0.92397,                 1.2438,                0.75315,                0.71594,                0.75213,                0.43887,                 1.8268,                 1.5819,                 1.8956,             0.00068402,             0.00068402,             0.00068402
                     22,                 1.0212,                0.92868,                 1.2265,                0.71244,                0.67061,                0.74457,                0.42621,                   1.71,                 1.7167,                 1.8609,             0.00067277,             0.00067277,             0.00067277
                     23,                 0.9899,                0.85946,                  1.192,                0.79465,                0.67276,                0.68711,                0.39602,                  1.757,                 1.5401,                 1.8103,             0.00066152,             0.00066152,             0.00066152
