                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.99259,                0.85322,                 1.1926,                0.78599,                0.64269,                0.75519,                 0.4691,                 1.6542,                 1.4213,                 1.7946,             0.00065028,             0.00065028,             0.00065028
                     25,                0.92436,                0.81741,                 1.1676,                0.80579,                0.69328,                0.75808,                0.46734,                 1.6732,                  1.462,                  1.812,             0.00063903,             0.00063903,             0.00063903
                     26,                0.93575,                0.82242,                  1.171,                0.68729,                0.63497,                0.69672,                0.41736,                 1.7063,                 1.4261,                 1.8429,             0.00062778,             0.00062778,             0.00062778
                     27,                0.92608,                0.79583,                 1.1533,                0.74753,                0.69654,                0.71665,                0.43747,                 1.8323,                 1.5705,                 1.9494,             0.00061653,             0.00061653,             0.00061653
                     28,                0.91682,                0.78061,                 1.1523,                 0.6518,                0.62766,                0.67273,                0.40893,                 1.7481,                 1.5452,                 1.8792,             0.00060528,             0.00060528,             0.00060528
                     29,                0.92216,                0.76147,                 1.1563,                0.72539,                0.68173,                0.72472,                0.46055,                 1.7557,                 1.5005,                 1.8537,             0.00059403,             0.00059403,             0.00059403
                     30,                0.87744,                0.72916,                 1.1291,                 0.7428,                0.66331,                0.68977,                0.41771,                  1.686,                 1.7463,                 1.8351,             0.00058278,             0.00058278,             0.00058278
                     31,                0.82394,                0.70468,                 1.1065,                0.75566,                0.60005,                0.71243,                0.43285,                 1.6113,                 1.4758,                 1.7598,             0.00057153,             0.00057153,             0.00057153
                     32,                 0.8675,                0.74148,                 1.1418,                0.64165,                0.66967,                0.64671,                0.39779,                 1.7204,                 1.5637,                 1.8785,             0.00056028,             0.00056028,             0.00056028
                     33,                0.82272,                0.69051,                  1.117,                0.78151,                 0.6607,                0.74547,                 0.4667,                 1.6437,                 1.3731,                 1.7589,             0.00054904,             0.00054904,             0.00054904
                     34,                0.81132,                0.67038,                 1.0976,                0.73002,                0.72775,                0.71772,                 0.4313,                 1.7067,                 1.5118,                 1.7524,             0.00053779,             0.00053779,             0.00053779
                     35,                0.78876,                0.66631,                 1.0907,                0.75865,                0.65241,                0.66682,                0.42735,                 1.6399,                 1.4959,                 1.7792,             0.00052654,             0.00052654,             0.00052654
                     36,                0.78943,                0.65132,                 1.0904,                0.77421,                0.66121,                0.77177,                0.48619,                 1.6297,                 1.5195,                  1.777,             0.00051529,             0.00051529,             0.00051529
                     37,                0.77256,                0.63617,                 1.0866,                0.77692,                0.65891,                0.74202,                0.45785,                 1.6405,                 1.5172,                 1.8255,             0.00050404,             0.00050404,             0.00050404
                     38,                0.76944,                0.63947,                 1.0773,                0.72174,                 0.7325,                0.76086,                0.48375,                 1.6255,                 1.5581,                 1.8204,             0.00049279,             0.00049279,             0.00049279
                     39,                0.74379,                0.62351,                 1.0735,                0.64757,                0.64436,                0.68185,                0.42318,                 1.6245,                 1.4336,                 1.7474,             0.00048154,             0.00048154,             0.00048154
                     40,                0.74117,                0.60296,                 1.0653,                0.80432,                0.71744,                 0.7659,                 0.4725,                 1.6537,                 1.4066,                 1.7998,             0.00047029,             0.00047029,             0.00047029
                     41,                0.74024,                 0.5965,                 1.0646,                0.75537,                 0.6747,                0.73086,                0.45529,                  1.647,                 1.4157,                 1.8051,             0.00045904,             0.00045904,             0.00045904
                     42,                0.72799,                0.58595,                 1.0566,                0.76462,                0.72054,                0.75453,                0.47436,                 1.7038,                 1.3646,                 1.8558,              0.0004478,              0.0004478,              0.0004478
                     43,                0.72845,                0.60934,                 1.0661,                0.86311,                0.70373,                0.78426,                0.49216,                 1.6706,                 1.5121,                 1.8173,             0.00043655,             0.00043655,             0.00043655
                     44,                0.69834,                0.56388,                 1.0433,                0.77093,                0.69857,                 0.7486,                0.46406,                 1.7106,                 1.5152,                 1.8744,              0.0004253,              0.0004253,              0.0004253
                     45,                0.68446,                0.55016,                 1.0443,                 0.7875,                0.63535,                0.71063,                0.44691,                 1.6674,                 1.3395,                 1.8547,             0.00041405,             0.00041405,             0.00041405
                     46,                0.67899,                0.55966,                 1.0401,                0.77132,                0.67463,                0.73546,                0.47404,                 1.6259,                 1.4994,                 1.8066,              0.0004028,              0.0004028,              0.0004028
                     47,                 0.6651,                0.52802,                 1.0174,                0.74507,                0.70789,                0.75168,                0.46053,                 1.6593,                 1.5716,                 1.8706,             0.00039155,             0.00039155,             0.00039155
                     48,                0.65665,                0.51472,                 1.0284,                0.84995,                0.70297,                0.75275,                0.47487,                 1.6366,                 1.4577,                   1.84,              0.0003803,              0.0003803,              0.0003803
                     49,                0.64866,                0.52273,                 1.0263,                0.84349,                0.62617,                0.70588,                0.43681,                 1.6252,                   1.45,                 1.8069,             0.00036905,             0.00036905,             0.00036905
                     50,                0.64291,                0.52816,                 1.0237,                 0.8181,                0.71074,                0.75616,                0.48819,                 1.6279,                 1.4874,                 1.8097,             0.00035781,             0.00035781,             0.00035781
                     51,                0.64397,                0.51239,                 1.0201,                0.79805,                0.64571,                0.72661,                0.46786,                 1.6319,                 1.4435,                  1.812,             0.00034656,             0.00034656,             0.00034656
                     52,                0.61786,                0.49123,                 1.0136,                0.80299,                 0.6422,                0.73063,                0.44739,                 1.6324,                 1.4203,                 1.8302,             0.00033531,             0.00033531,             0.00033531
                     53,                0.60819,                0.48843,                 1.0142,                0.77052,                0.72701,                0.76128,                0.48772,                 1.5939,                 1.3471,                 1.7999,             0.00032406,             0.00032406,             0.00032406
                     54,                0.59518,                0.46814,                 1.0062,                0.82476,                0.68472,                 0.7609,                0.50183,                 1.5728,                 1.5659,                 1.7394,             0.00031281,             0.00031281,             0.00031281
                     55,                0.60984,                  0.468,                 1.0052,                0.77254,                0.70711,                0.74143,                 0.4664,                 1.6029,                  1.589,                 1.8121,             0.00030156,             0.00030156,             0.00030156
                     56,                0.60042,                0.47784,                0.99954,                0.78143,                0.71637,                0.75139,                0.47313,                 1.5542,                 1.5978,                  1.781,             0.00029031,             0.00029031,             0.00029031
                     57,                0.59111,                0.46813,                 1.0033,                0.83108,                0.68851,                0.75313,                0.47583,                 1.5724,                 1.5495,                 1.7994,             0.00027906,             0.00027906,             0.00027906
                     58,                  0.576,                0.45546,                0.98456,                0.80774,                0.68158,                0.75355,                0.48854,                 1.5931,                 1.5107,                 1.8214,             0.00026781,             0.00026781,             0.00026781
                     59,                0.56896,                0.44345,                0.98429,                0.76221,                0.72962,                0.74903,                0.46746,                  1.596,                 1.4876,                 1.8106,             0.00025657,             0.00025657,             0.00025657
                     60,                0.56776,                0.44065,                0.98076,                0.82773,                0.69889,                0.75731,                0.48917,                 1.5762,                 1.4288,                    1.8,             0.00024532,             0.00024532,             0.00024532
                     61,                0.55142,                0.43945,                0.97135,                0.76805,                0.71182,                0.75165,                0.47828,                 1.5981,                 1.5245,                 1.8136,             0.00023407,             0.00023407,             0.00023407
                     62,                0.53736,                0.40835,                0.97315,                0.72889,                0.68331,                0.74394,                0.47183,                 1.6316,                 1.5268,                 1.8416,             0.00022282,             0.00022282,             0.00022282
                     63,                0.53393,                0.41554,                0.96812,                0.79287,                 0.6656,                0.73082,                0.45253,                 1.6255,                 1.4929,                 1.8424,             0.00021157,             0.00021157,             0.00021157
                     64,                0.53864,                0.41872,                 0.9699,                0.78444,                0.67963,                0.72887,                0.46226,                 1.6083,                 1.4647,                 1.8308,             0.00020032,             0.00020032,             0.00020032
                     65,                0.51279,                0.40375,                0.97061,                0.77731,                0.68841,                0.75152,                0.48014,                 1.5885,                 1.4295,                 1.8194,             0.00018907,             0.00018907,             0.00018907
                     66,                0.52093,                0.39743,                0.96724,                0.81872,                0.69384,                0.75499,                0.47403,                 1.6147,                 1.4944,                 1.8423,             0.00017782,             0.00017782,             0.00017782
                     67,                0.52017,                0.40486,                0.96394,                0.72367,                0.71032,                 0.7317,                0.46142,                 1.6114,                  1.539,                 1.8653,             0.00016657,             0.00016657,             0.00016657
                     68,                0.50107,                 0.3806,                0.96289,                0.83025,                0.64411,                0.74146,                 0.4772,                 1.6111,                 1.4913,                 1.8454,             0.00015533,             0.00015533,             0.00015533
                     69,                0.49653,                0.39023,                0.96228,                0.80087,                0.69778,                0.75554,                0.49561,                 1.5981,                 1.5069,                 1.8319,             0.00014408,             0.00014408,             0.00014408
                     70,                0.48688,                0.38272,                0.95694,                0.77152,                0.70525,                0.74807,                0.48369,                 1.5962,                 1.5332,                 1.8278,             0.00013283,             0.00013283,             0.00013283
                     71,                0.41108,                0.30745,                0.88941,                0.79026,                0.71363,                0.75063,                0.47656,                 1.5781,                 1.4649,                 1.8281,             0.00012158,             0.00012158,             0.00012158
                     72,                0.37337,                0.27014,                0.88282,                0.77151,                 0.7185,                0.75287,                0.48192,                 1.5839,                 1.5361,                 1.8171,             0.00011033,             0.00011033,             0.00011033
                     73,                0.37185,                0.25751,                0.87483,                0.78234,                0.69636,                 0.7436,                0.47341,                 1.5706,                 1.5019,                 1.8166,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     74,                0.37286,                0.26379,                0.88309,                0.76846,                0.71118,                0.74819,                0.48022,                 1.5557,                 1.5162,                 1.8291,             8.7832e-05,             8.7832e-05,             8.7832e-05
                     75,                  0.353,                0.25429,                0.87529,                0.75692,                0.71762,                0.74618,                 0.4791,                 1.5339,                  1.529,                 1.7974,             7.6583e-05,             7.6583e-05,             7.6583e-05
                     76,                0.35768,                 0.2523,                0.87593,                0.82447,                0.65714,                0.74607,                0.47622,                 1.5561,                 1.5214,                 1.8282,             6.5334e-05,             6.5334e-05,             6.5334e-05
                     77,                0.35021,                0.25205,                0.86835,                0.73544,                0.72777,                0.75407,                0.49254,                  1.554,                  1.493,                 1.8361,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     78,                0.34072,                0.24178,                 0.8708,                0.74152,                0.72473,                0.76089,                0.49388,                 1.5568,                 1.4658,                 1.8357,             4.2837e-05,             4.2837e-05,             4.2837e-05
                     79,                0.32827,                0.23992,                0.87228,                0.72277,                0.74848,                0.76518,                0.50103,                 1.5687,                 1.4888,                  1.842,             3.1588e-05,             3.1588e-05,             3.1588e-05
                     80,                0.32542,                0.23547,                0.86274,                0.78776,                0.68896,                0.76526,                0.49896,                 1.5686,                 1.4793,                 1.8419,             2.0339e-05,             2.0339e-05,             2.0339e-05
