                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6226,                 2.6421,                 1.6569,                0.58371,                0.41153,                0.45141,                0.23275,                 1.5995,                 2.5595,                  1.674,             0.00029611,             0.00029611,             0.00029611
                      2,                 1.4509,                 1.7633,                 1.4934,                0.55322,                0.34311,                 0.3867,                0.19536,                 1.7351,                 4.7699,                 1.9046,             0.00057539,             0.00057539,             0.00057539
                      3,                 1.4771,                  1.696,                 1.5257,                0.37351,                0.58615,                0.48837,                0.23223,                 1.8605,                 2.3977,                 1.9622,             0.00083067,             0.00083067,             0.00083067
                      4,                 1.4815,                 1.6347,                 1.5334,                 0.3021,                0.42346,                0.26882,                0.13257,                 1.9491,                 2.6625,                 2.1053,             0.00080101,             0.00080101,             0.00080101
                      5,                 1.4271,                 1.5356,                 1.4677,                0.42307,                0.46463,                0.44619,                0.22137,                 1.8669,                 2.7228,                 1.9618,             0.00076501,             0.00076501,             0.00076501
                      6,                  1.432,                 1.4911,                 1.4682,                 0.6115,                0.54707,                0.55656,                0.30652,                 2.1666,                 2.4913,                 2.2108,             0.00072902,             0.00072902,             0.00072902
                      7,                 1.3876,                 1.4405,                 1.4537,                0.74273,                0.45275,                0.58122,                0.30958,                 1.8432,                 1.9773,                 1.8204,             0.00069302,             0.00069302,             0.00069302
                      8,                 1.3235,                 1.3848,                 1.4121,                0.63753,                0.65566,                0.66425,                0.34602,                  1.766,                 1.8901,                 1.8016,             0.00065703,             0.00065703,             0.00065703
                      9,                 1.2868,                 1.2622,                 1.3869,                0.81342,                0.58428,                0.70581,                0.35592,                 1.8975,                 1.8173,                 1.8784,             0.00062103,             0.00062103,             0.00062103
                     10,                 1.2651,                 1.2222,                  1.358,                 0.6134,                0.70356,                0.68084,                0.40389,                 1.7642,                 1.7532,                 1.8066,             0.00058503,             0.00058503,             0.00058503
                     11,                 1.1933,                  1.137,                 1.3222,                0.80767,                0.57178,                0.71229,                0.41832,                 1.7644,                 1.6003,                 1.7841,             0.00054904,             0.00054904,             0.00054904
                     12,                 1.2034,                 1.1087,                 1.3411,                0.70404,                0.71298,                0.73169,                0.45416,                  1.754,                 1.6127,                 1.7945,             0.00051304,             0.00051304,             0.00051304
                     13,                 1.1386,                 1.0385,                 1.2866,                0.87343,                0.70805,                0.80179,                0.48725,                 1.6853,                 1.6154,                 1.7379,             0.00047704,             0.00047704,             0.00047704
                     14,                 1.0936,                0.97885,                 1.2776,                0.84933,                0.71516,                0.79623,                 0.4956,                 1.5871,                 1.3494,                 1.6969,             0.00044105,             0.00044105,             0.00044105
                     15,                 1.0316,                0.91983,                 1.2386,                0.75009,                0.71808,                0.80074,                0.48092,                 1.6004,                 1.3418,                 1.6729,             0.00040505,             0.00040505,             0.00040505
                     16,                 0.9562,                0.77679,                 1.1914,                0.74241,                0.72086,                0.75566,                0.45222,                 1.6553,                 1.5108,                 1.7725,             0.00036905,             0.00036905,             0.00036905
                     17,                0.88847,                0.66164,                 1.1406,                0.84112,                 0.6882,                  0.794,                0.47314,                  1.607,                 1.3715,                   1.73,             0.00033306,             0.00033306,             0.00033306
                     18,                0.84536,                0.61257,                 1.1274,                 0.8202,                0.74394,                 0.7844,                0.47151,                 1.6501,                 1.1953,                  1.776,             0.00029706,             0.00029706,             0.00029706
                     19,                0.79231,                0.56736,                 1.0831,                0.78379,                0.76513,                0.80368,                0.46628,                 1.6418,                 1.2741,                 1.7553,             0.00026106,             0.00026106,             0.00026106
                     20,                0.74363,                0.53323,                  1.071,                0.76171,                0.77891,                 0.8079,                 0.5006,                 1.5747,                 1.2214,                 1.7003,             0.00022507,             0.00022507,             0.00022507
                     21,                 0.7014,                0.50728,                  1.046,                0.71599,                0.74834,                 0.7668,                0.49475,                 1.5343,                 1.3689,                 1.7087,             0.00018907,             0.00018907,             0.00018907
                     22,                0.66549,                0.45911,                 1.0248,                0.73794,                0.76029,                0.78923,                0.49317,                 1.5511,                 1.2885,                 1.7338,             0.00015308,             0.00015308,             0.00015308
                     23,                0.65375,                0.45005,                 1.0119,                0.73088,                0.78063,                0.80086,                0.49366,                 1.5737,                 1.2613,                 1.7652,             0.00011708,             0.00011708,             0.00011708
                     24,                0.61421,                0.42841,                 1.0003,                0.77946,                 0.7495,                0.80248,                0.50688,                 1.5598,                 1.2669,                 1.7441,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     25,                0.58997,                0.40028,                0.97193,                0.87395,                 0.6808,                0.79231,                0.50706,                 1.5414,                 1.3288,                 1.7276,             4.5086e-05,             4.5086e-05,             4.5086e-05
