                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     18,                 0.5162,                 0.5883,                0.97848,                0.97492,                0.99259,                0.99305,                0.89542,                 0.4535,                0.33728,                0.89653,             0.00043747,             0.00043747,             0.00043747
                     19,                0.51625,                0.59519,                0.97287,                0.97122,                 0.9614,                 0.9915,                 0.9028,                0.42331,                0.38687,                0.87892,             0.00043227,             0.00043227,             0.00043227
                     20,                0.51367,                0.57384,                0.97467,                0.98454,                0.99259,                0.99214,                0.91631,                 0.3964,                0.30592,                0.86305,             0.00042706,             0.00042706,             0.00042706
                     21,                0.52589,                0.54807,                0.97431,                0.97686,                0.98195,                0.99311,                0.91092,                0.41239,                0.32516,                0.87217,             0.00042185,             0.00042185,             0.00042185
                     22,                 0.5003,                0.54255,                0.96754,                0.98253,                0.97856,                0.99335,                0.91753,                0.39026,                0.30327,                0.85495,             0.00041664,             0.00041664,             0.00041664
                     23,                0.48668,                0.56887,                0.96705,                0.97083,                0.98652,                0.99098,                0.90685,                0.41899,                0.32125,                0.87472,             0.00041144,             0.00041144,             0.00041144
                     24,                0.47184,                0.52613,                 0.9567,                0.98703,                0.96863,                0.99403,                0.90603,                0.42414,                0.34118,                0.88478,             0.00040623,             0.00040623,             0.00040623
                     25,                0.48064,                0.53286,                0.96014,                0.98332,                0.99259,                0.99128,                0.92547,                0.37676,                0.30797,                0.85321,             0.00040102,             0.00040102,             0.00040102
                     26,                0.47404,                0.50794,                0.95532,                0.98805,                0.98272,                 0.9927,                0.91361,                 0.4126,                0.29915,                0.86182,             0.00039581,             0.00039581,             0.00039581
                     27,                0.46333,                0.49438,                0.95177,                0.98206,                0.99259,                0.99364,                0.91579,                0.37829,                 0.2786,                0.84549,             0.00039061,             0.00039061,             0.00039061
                     28,                0.45143,                0.47591,                0.94616,                0.99543,                0.98371,                0.99263,                0.91222,                0.38479,                0.28659,                0.85401,              0.0003854,              0.0003854,              0.0003854
                     29,                0.46706,                0.48567,                0.96005,                0.99308,                0.98463,                0.99332,                0.92692,                0.34747,                0.27995,                0.84009,             0.00038019,             0.00038019,             0.00038019
                     30,                0.45018,                0.48332,                0.95562,                0.97988,                0.99259,                0.99349,                0.91537,                0.39265,                0.28599,                0.85509,             0.00037499,             0.00037499,             0.00037499
                     31,                0.44561,                0.45484,                0.94436,                0.99371,                0.98387,                0.99373,                 0.9223,                0.35621,                0.27446,                 0.8394,             0.00036978,             0.00036978,             0.00036978
                     32,                0.43227,                0.44964,                0.93687,                0.98613,                0.98915,                0.99326,                0.93287,                0.34836,                0.26369,                0.83181,             0.00036457,             0.00036457,             0.00036457
                     33,                0.43625,                0.48444,                0.94431,                0.98445,                0.98914,                0.99322,                0.94062,                0.34371,                0.26893,                 0.8361,             0.00035936,             0.00035936,             0.00035936
                     34,                0.42992,                0.46943,                 0.9406,                0.99428,                0.98272,                 0.9927,                 0.9395,                0.31969,                 0.2599,                0.82167,             0.00035416,             0.00035416,             0.00035416
                     35,                0.42663,                 0.4489,                   0.93,                0.99459,                0.98404,                0.99304,                0.93659,                0.33136,                0.26543,                0.82743,             0.00034895,             0.00034895,             0.00034895
                     36,                0.41995,                0.41649,                0.93307,                0.98577,                0.99259,                0.99236,                 0.9506,                0.32391,                0.25521,                0.82543,             0.00034374,             0.00034374,             0.00034374
                     37,                 0.4114,                 0.4156,                0.93266,                0.98598,                0.99288,                0.99293,                0.94217,                0.32763,                0.25338,                 0.8212,             0.00033853,             0.00033853,             0.00033853
                     38,                0.39937,                0.41174,                0.92873,                0.98079,                0.99012,                0.99294,                0.94886,                0.29918,                0.24737,                0.81138,             0.00033333,             0.00033333,             0.00033333
                     39,                0.40743,                0.41262,                0.93292,                0.98244,                0.99259,                0.99297,                0.94659,                 0.3259,                0.26038,                0.82466,             0.00032812,             0.00032812,             0.00032812
                     40,                0.38908,                0.38553,                0.92053,                0.99573,                0.98373,                0.99326,                 0.9382,                0.34356,                0.25409,                0.84006,             0.00032291,             0.00032291,             0.00032291
                     41,                 0.4022,                0.40481,                0.93557,                 0.9703,                0.98212,                0.99363,                 0.9567,                0.28533,                0.25444,                0.81063,              0.0003177,              0.0003177,              0.0003177
                     42,                0.39305,                0.37743,                0.92794,                0.98533,                0.99259,                0.99284,                0.94854,                0.29029,                0.23424,                0.81244,              0.0003125,              0.0003125,              0.0003125
                     43,                0.38647,                0.39928,                0.91876,                0.99352,                0.98272,                  0.993,                0.94893,                0.30056,                0.24541,                0.81539,             0.00030729,             0.00030729,             0.00030729
                     44,                0.38648,                0.39427,                0.92328,                0.98135,                0.99352,                0.99317,                0.94496,                0.29642,                0.23245,                0.80894,             0.00030208,             0.00030208,             0.00030208
                     45,                0.36882,                0.37277,                0.91551,                0.98201,                0.99259,                0.99268,                0.95854,                0.28459,                0.22335,                0.80296,             0.00029687,             0.00029687,             0.00029687
                     46,                0.37327,                0.36923,                0.92103,                0.99324,                0.98408,                0.99378,                 0.9523,                0.30842,                0.24015,                0.81228,             0.00029167,             0.00029167,             0.00029167
                     47,                0.37309,                0.37163,                0.92506,                0.98681,                0.99259,                0.99291,                0.94897,                0.29398,                0.23541,                0.80477,             0.00028646,             0.00028646,             0.00028646
                     48,                0.35798,                0.35783,                 0.9187,                0.98389,                0.99259,                0.99364,                0.95742,                0.27879,                0.22146,                0.79807,             0.00028125,             0.00028125,             0.00028125
                     49,                0.37126,                0.36103,                0.92071,                0.98646,                0.99259,                0.99306,                 0.9591,                0.29884,                  0.243,                0.80721,             0.00027604,             0.00027604,             0.00027604
                     50,                0.35769,                0.35465,                0.91384,                0.99471,                0.98272,                0.99288,                0.95182,                0.29316,                 0.2278,                0.81024,             0.00027084,             0.00027084,             0.00027084
                     51,                0.36261,                0.35162,                0.91491,                0.99411,                0.98504,                0.99297,                0.96418,                  0.266,                0.21817,                0.79764,             0.00026563,             0.00026563,             0.00026563
                     52,                0.35525,                0.33517,                0.91835,                0.98574,                0.99259,                 0.9929,                 0.9533,                0.27572,                0.22445,                0.80292,             0.00026042,             0.00026042,             0.00026042
                     53,                0.36362,                0.33248,                0.91345,                0.99259,                0.98272,                0.99329,                0.95683,                0.27134,                0.21819,                0.80253,             0.00025522,             0.00025522,             0.00025522
                     54,                 0.3584,                0.34968,                0.91955,                0.98706,                0.99291,                0.99359,                0.95905,                0.26168,                0.20938,                0.80051,             0.00025001,             0.00025001,             0.00025001
                     55,                0.35145,                0.32292,                 0.9126,                0.98353,                0.99259,                0.99323,                0.95271,                0.27141,                0.21588,                0.80081,              0.0002448,              0.0002448,              0.0002448
                     56,                0.34042,                0.33628,                0.91084,                0.98376,                 0.9931,                0.99304,                0.95823,                0.24868,                0.22173,                0.79208,             0.00023959,             0.00023959,             0.00023959
                     57,                0.34317,                0.32784,                0.91206,                0.97997,                0.98427,                 0.9939,                0.96201,                0.24825,                0.20485,                 0.7953,             0.00023439,             0.00023439,             0.00023439
                     58,                0.33751,                0.31759,                0.90558,                0.99437,                0.98272,                0.99241,                0.95929,                0.24743,                0.21558,                0.79778,             0.00022918,             0.00022918,             0.00022918
                     59,                0.33024,                0.31581,                0.90442,                0.98556,                0.99302,                0.99343,                0.96383,                0.25375,                0.21253,                0.79449,             0.00022397,             0.00022397,             0.00022397
                     60,                0.33702,                   0.31,                0.90462,                0.96069,                      1,                0.99282,                0.96386,                0.25817,                0.21202,                0.79642,             0.00021876,             0.00021876,             0.00021876
                     61,                0.32294,                0.30696,                0.90766,                 0.9833,                0.97501,                 0.9935,                0.96164,                0.26058,                0.21573,                0.79949,             0.00021356,             0.00021356,             0.00021356
                     62,                 0.3228,                0.30543,                0.90375,                  0.995,                0.98399,                0.99344,                0.96348,                0.24985,                0.20299,                0.79345,             0.00020835,             0.00020835,             0.00020835
                     63,                0.31765,                 0.2887,                0.90153,                0.98524,                0.99259,                0.99311,                0.96332,                0.24873,                0.21015,                0.79301,             0.00020314,             0.00020314,             0.00020314
                     64,                0.32362,                0.28744,                0.90396,                0.98604,                0.99259,                0.99362,                0.96528,                0.23781,                0.19816,                0.78742,             0.00019793,             0.00019793,             0.00019793
                     65,                0.31727,                0.28911,                0.90609,                0.98698,                 0.9932,                 0.9939,                0.96103,                 0.2654,                0.20923,                0.79821,             0.00019273,             0.00019273,             0.00019273
                     66,                0.31242,                0.28234,                0.90325,                0.98673,                0.99259,                0.99334,                0.96057,                0.25207,                0.20048,                0.79146,             0.00018752,             0.00018752,             0.00018752
                     67,                0.32277,                0.30345,                0.90319,                0.97583,                      1,                0.99326,                0.96778,                0.24944,                0.19915,                0.79096,             0.00018231,             0.00018231,             0.00018231
                     68,                0.30949,                0.28668,                0.89633,                0.98704,                0.99264,                0.99408,                0.96122,                 0.2319,                0.19926,                0.78452,              0.0001771,              0.0001771,              0.0001771
                     69,                0.29993,                0.27469,                0.89977,                0.98164,                0.99259,                0.99312,                0.96353,                0.24665,                 0.1913,                 0.7891,              0.0001719,              0.0001719,              0.0001719
                     70,                0.30441,                0.27983,                0.90101,                0.99458,                 0.9848,                  0.993,                0.96212,                0.23739,                0.19631,                0.78375,             0.00016669,             0.00016669,             0.00016669
                     71,                 0.2917,                0.26719,                0.89178,                 0.9942,                0.98503,                0.99356,                0.96403,                0.22146,                0.18009,                0.78092,             0.00016148,             0.00016148,             0.00016148
                     72,                0.29882,                0.27078,                0.90094,                0.98506,                0.99259,                0.99286,                0.96933,                0.22907,                0.19096,                0.78222,             0.00015627,             0.00015627,             0.00015627
                     73,                0.29095,                 0.2683,                0.89916,                0.98403,                0.99286,                0.99332,                0.96618,                0.23012,                0.18537,                0.78103,             0.00015107,             0.00015107,             0.00015107
                     74,                0.29355,                0.26449,                0.89431,                0.98757,                0.99269,                0.99385,                0.97083,                0.21467,                0.18388,                0.78064,             0.00014586,             0.00014586,             0.00014586
                     75,                0.29079,                0.26552,                0.89396,                0.98386,                0.99259,                 0.9937,                 0.9637,                0.23501,                0.19172,                0.78269,             0.00014065,             0.00014065,             0.00014065
                     76,                0.28021,                0.25835,                0.88845,                0.99485,                0.98443,                0.99404,                0.96749,                0.22052,                0.18459,                0.78013,             0.00013544,             0.00013544,             0.00013544
                     77,                0.27463,                0.26197,                 0.8902,                0.98528,                 0.9934,                0.99312,                0.96954,                0.21469,                0.18433,                0.77969,             0.00013024,             0.00013024,             0.00013024
                     78,                0.28233,                0.25346,                0.89308,                0.99418,                0.98484,                0.99352,                0.97368,                0.21621,                0.18524,                0.78071,             0.00012503,             0.00012503,             0.00012503
                     79,                 0.2873,                0.25616,                0.89957,                0.97939,                0.99259,                0.99285,                0.97636,                0.21759,                0.18608,                0.77928,             0.00011982,             0.00011982,             0.00011982
                     80,                0.28141,                0.24956,                0.89048,                0.96864,                0.99259,                0.99262,                0.97196,                0.21396,                0.18681,                0.77941,             0.00011462,             0.00011462,             0.00011462
                     81,                0.28549,                0.26358,                0.89168,                0.97642,                      1,                0.99237,                0.97457,                 0.2143,                0.18432,                 0.7807,             0.00010941,             0.00010941,             0.00010941
                     82,                0.27187,                0.24663,                0.89103,                0.99168,                0.98492,                0.99346,                0.97544,                0.19911,                0.18172,                0.77577,              0.0001042,              0.0001042,              0.0001042
                     83,                0.26757,                0.24873,                0.89051,                0.98113,                0.99259,                0.99324,                0.97384,                0.20141,                0.17573,                0.77675,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     84,                0.26434,                0.24247,                0.89102,                0.99079,                0.98498,                0.99372,                0.97365,                0.20052,                0.17979,                0.77616,             9.3786e-05,             9.3786e-05,             9.3786e-05
                     85,                0.26611,                0.23829,                0.89162,                0.98422,                0.99259,                0.99318,                0.97439,                0.20922,                0.18103,                0.77717,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     86,                0.26811,                0.23644,                0.89066,                 0.9693,                0.99259,                 0.9936,                0.97182,                0.19295,                0.17532,                0.77498,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     87,                0.26248,                0.23832,                0.88808,                0.98463,                0.99259,                 0.9935,                0.97384,                0.19351,                0.17003,                0.77412,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     88,                0.26379,                0.23388,                0.88702,                0.96732,                0.99412,                0.99384,                0.97419,                0.18873,                0.17199,                0.77338,             7.2956e-05,             7.2956e-05,             7.2956e-05
                     89,                0.25661,                0.23775,                0.89001,                0.98204,                0.99259,                0.99333,                0.97371,                0.18433,                0.17224,                0.77172,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     90,                0.25668,                0.23494,                0.89114,                0.99126,                0.98517,                0.99291,                0.97692,                0.17666,                0.16595,                0.76943,             6.2541e-05,             6.2541e-05,             6.2541e-05
                     91,                0.22533,                0.20366,                0.84178,                0.99121,                0.98509,                0.99297,                0.96793,                0.20143,                0.17481,                0.77363,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     92,                0.21363,                0.18321,                0.83622,                0.98234,                0.99259,                0.99293,                0.97143,                0.18505,                0.16941,                0.76963,             5.2127e-05,             5.2127e-05,             5.2127e-05
                     93,                0.20718,                0.18251,                0.83057,                0.99275,                0.98505,                0.99308,                0.97214,                0.17918,                0.16905,                0.76817,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     94,                0.20318,                0.17153,                0.83718,                0.98442,                0.99259,                0.99302,                0.97544,                0.18499,                0.16559,                0.76818,             4.1712e-05,             4.1712e-05,             4.1712e-05
                     95,                 0.2013,                0.17599,                0.84123,                 0.9816,                0.99259,                0.99278,                0.97637,                0.17374,                0.16021,                0.76776,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     96,                0.22454,                0.19842,                0.84384,                0.98415,                0.99259,                0.99316,                 0.9738,                0.17512,                0.16011,                0.76708,             3.1297e-05,             3.1297e-05,             3.1297e-05
                     97,                0.18956,                0.16716,                 0.8277,                0.98322,                0.99259,                0.99356,                0.97493,                 0.1648,                0.15688,                0.76495,              2.609e-05,              2.609e-05,              2.609e-05
                     98,                 0.1914,                0.16847,                0.82864,                 0.9681,                 0.9943,                 0.9937,                0.97962,                0.16851,                0.15825,                0.76536,             2.0882e-05,             2.0882e-05,             2.0882e-05
                     99,                0.19559,                0.17115,                 0.8279,                0.98155,                0.99259,                0.99331,                0.97801,                0.16424,                0.15213,                0.76443,             1.5675e-05,             1.5675e-05,             1.5675e-05
                    100,                0.18512,                0.17938,                0.83141,                0.98108,                0.99259,                0.99328,                0.97897,                0.16525,                0.15447,                0.76442,             1.0467e-05,             1.0467e-05,             1.0467e-05
