                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97304,                  2.617,                 1.1754,                0.62876,                0.74059,                0.71688,                0.55276,                0.75042,                 1.8369,                 1.0124,             0.00017255,             0.00017255,             0.00017255
                      2,                0.82855,                  1.606,                 1.0872,                 0.6491,                0.75624,                0.80457,                0.63066,                0.83185,                 2.0497,                 1.0192,             0.00034444,             0.00034444,             0.00034444
                      3,                0.80051,                 1.4168,                 1.0844,                0.74207,                 0.7538,                0.85555,                0.68881,                0.72134,                 1.5717,                  1.022,             0.00051286,             0.00051286,             0.00051286
                      4,                0.75419,                 1.2624,                 1.0656,                0.83931,                0.78015,                0.87897,                0.71568,                0.70742,                 1.2004,                 1.0126,             0.00051038,             0.00051038,             0.00051038
                      5,                0.74213,                 1.1943,                 1.0629,                0.80387,                0.88406,                0.91079,                  0.754,                0.61025,                  1.028,                0.97969,             0.00050517,             0.00050517,             0.00050517
                      6,                0.68045,                0.96433,                 1.0361,                0.90238,                  0.958,                0.98681,                0.82378,                0.60951,                0.65377,                0.99117,             0.00049996,             0.00049996,             0.00049996
                      7,                0.68191,                0.89562,                 1.0458,                0.96563,                0.94567,                0.98701,                0.84009,                0.60954,                0.59695,                  1.015,             0.00049476,             0.00049476,             0.00049476
                      8,                0.62048,                0.80718,                 1.0164,                0.92732,                0.96925,                0.98458,                0.84448,                0.58615,                0.52036,                0.98918,             0.00048955,             0.00048955,             0.00048955
                      9,                0.64263,                0.82139,                 1.0307,                0.96879,                0.96901,                 0.9847,                0.85364,                0.56217,                0.49371,                0.97046,             0.00048434,             0.00048434,             0.00048434
                     10,                0.62487,                 0.7876,                 1.0189,                0.91278,                0.95529,                0.97691,                 0.8418,                0.55045,                0.60187,                0.96091,             0.00047913,             0.00047913,             0.00047913
                     11,                0.60418,                0.74084,                 1.0101,                0.97419,                0.96166,                0.98754,                0.84026,                0.56533,                0.45933,                0.95322,             0.00047393,             0.00047393,             0.00047393
                     12,                0.58255,                0.71356,                  1.005,                0.97273,                0.97291,                0.98914,                0.88163,                0.46797,                0.41067,                0.91026,             0.00046872,             0.00046872,             0.00046872
                     13,                0.58202,                0.71907,                 1.0055,                0.98183,                0.99259,                0.99206,                0.88601,                 0.4716,                0.36867,                0.91209,             0.00046351,             0.00046351,             0.00046351
                     14,                0.55535,                0.68011,                0.99594,                0.96455,                0.97815,                0.99319,                 0.8712,                0.50129,                0.39204,                0.92586,              0.0004583,              0.0004583,              0.0004583
                     15,                0.55735,                0.65102,                 0.9917,                0.96625,                0.99259,                0.99075,                0.88954,                0.45485,                0.36838,                0.90092,              0.0004531,              0.0004531,              0.0004531
                     16,                0.53989,                0.64674,                 0.9753,                0.98318,                0.98796,                0.99363,                0.86656,                0.53569,                0.39405,                0.95855,             0.00044789,             0.00044789,             0.00044789
                     17,                0.54194,                0.60885,                0.98282,                0.97894,                0.99259,                0.99226,                 0.8859,                0.44447,                0.35334,                0.89158,             0.00044268,             0.00044268,             0.00044268
