                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.44205,                0.36335,                0.87932,                0.99519,                      1,                  0.995,                0.97245,                0.30491,                0.26427,                0.78023,             0.00026106,             0.00026106,             0.00026106
                     38,                0.41553,                0.34543,                0.87027,                0.99422,                      1,                  0.995,                0.96009,                0.36031,                0.26822,                0.78907,             0.00024307,             0.00024307,             0.00024307
                     39,                0.42604,                0.34945,                0.86389,                0.99609,                      1,                  0.995,                0.95344,                0.32637,                0.26782,                0.78582,             0.00022507,             0.00022507,             0.00022507
                     40,                0.40036,                0.32895,                0.85523,                0.99652,                      1,                  0.995,                0.95378,                0.32508,                0.25542,                0.78166,             0.00020707,             0.00020707,             0.00020707
                     41,                0.36514,                0.30849,                0.81519,                0.99273,                      1,                  0.995,                0.95835,                0.29851,                0.24879,                  0.778,             0.00018907,             0.00018907,             0.00018907
                     42,                0.35496,                0.29582,                0.81254,                0.99331,                      1,                  0.995,                0.96929,                 0.3002,                0.25782,                0.78075,             0.00017107,             0.00017107,             0.00017107
                     43,                0.34413,                0.28256,                0.81609,                0.99604,                      1,                  0.995,                0.97292,                0.28955,                0.25491,                0.77803,             0.00015308,             0.00015308,             0.00015308
                     44,                0.33453,                  0.274,                0.80866,                0.99639,                      1,                  0.995,                0.97008,                0.28903,                0.23744,                0.77693,             0.00013508,             0.00013508,             0.00013508
                     45,                0.30851,                0.26257,                0.80663,                0.99654,                      1,                  0.995,                0.95918,                0.30544,                0.25045,                0.78136,             0.00011708,             0.00011708,             0.00011708
                     46,                0.32413,                0.26395,                0.81593,                0.99641,                      1,                  0.995,                0.96621,                0.26679,                0.22894,                0.77549,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     47,                0.30812,                0.25333,                0.80455,                0.99618,                      1,                  0.995,                0.97194,                0.27912,                  0.225,                0.77598,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     48,                0.29272,                0.24875,                 0.8078,                0.99595,                      1,                  0.995,                0.96989,                0.28126,                0.21696,                0.77423,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     49,                0.29216,                0.24903,                0.80665,                0.99565,                      1,                  0.995,                0.97416,                0.27267,                0.21564,                0.77393,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     50,                0.28061,                0.24154,                0.79781,                 0.9955,                      1,                  0.995,                0.97821,                0.27088,                0.21894,                0.77548,             2.7088e-05,             2.7088e-05,             2.7088e-05
